Batch,Year,Academic Rate,Internship Rate,Current Preference,After Graduate,Career Path,Prefer Country,Career Type
8,2nd,2,2,Doing business,Working,Entrepreneurship,Cambodia,"Data Scientist, Graphic Designer, Digital Marketing, Project Manager"
6,3rd,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing"
6,3rd,3,4,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Project Manager"
6,3rd,2,4,Programming,Working,Entrepreneurship,Japan,"Web Development, Digital Marketing, Project Manager"
6,3rd,3,4,Programming,Pursue a master's degree,Work for a company,Japan,"Web Development, Database Administrator, Project Manager"
8,2nd,3,3,Doing business,Working,Entrepreneurship,Japan,"Web Development, Graphic Designer, UX/UI, Digital Marketing"
6,3rd,2,4,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, Project Manager"
6,3rd,3,4,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
8,2nd,2,2,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Digital Marketing, Project Manager"
6,3rd,4,4,Programming,Working,Work for a company,Japan,"Web Development, Database Administrator"
6,3rd,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Database Administrator"
6,3rd,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Quality Assurance, Project Manager"
6,3rd,4,4,Doing business,Working,Work for a company,Cambodia,"Graphic Designer, Quality Assurance, Digital Marketing"
6,3rd,4,5,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,3,Doing business,Pursue a master's degree,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Japan,"Graphic Designer, UX/UI, Digital Marketing, Project Manager"
8,2nd,3,4,Doing business,Working,Entrepreneurship,Cambodia,"Graphic Designer, UX/UI, Digital Marketing, Project Manager"
8,2nd,2,4,Doing business,Working,Work for a company,Cambodia,Cyber-security
8,2nd,4,4,Programming,Working,Work for a company,Japan,Cyber-security
8,2nd,3,4,Doing business,Pursue a master's degree,Work for a company,Japan,"Web Development, Database Administrator, Digital Marketing"
8,2nd,3,4,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Database Administrator"
8,2nd,2,2,Programming,Working,Work for a company,Japan,"Data Scientist, Database Administrator"
8,2nd,2,2,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, Digital Marketing, Project Manager"
8,2nd,3,3,Doing business,Pursue a master's degree,Entrepreneurship,Japan,"Data Scientist, Database Administrator, Project Manager"
8,2nd,3,4,Programming,Working,Work for a company,Japan,Database Administrator
8,2nd,2,3,Doing business,Working,Work for a company,Cambodia,"Web Development, Graphic Designer, UX/UI, Quality Assurance, Project Manager, Networking"
8,2nd,3,4,Doing business,Pursue a master's degree,Entrepreneurship,Japan,Web Development
8,2nd,3,2,Programming,Working,Work for a company,Cambodia,"Quality Assurance, Database Administrator, Project Manager"
8,2nd,3,3,Doing business,Working,Entrepreneurship,Japan,"Web Development, Digital Marketing, Project Manager"
8,2nd,3,2,Doing business,Working,Entrepreneurship,Japan,"Data Scientist, Digital Marketing"
8,2nd,4,4,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
8,2nd,3,3,Programming,Working,Entrepreneurship,Japan,"Web Development, Data Scientist, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,2,Doing business,Working,Work for a company,Cambodia,"Graphic Designer, UX/UI, Database Administrator"
4,4th,5,4,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Project Manager"
4,4th,3,4,Programming,Working,Researcher,Cambodia,Data Scientist
